time,conductivity,humidity,nitrogen,phosphorus,potassium,pH,temperature,latitude,longitude
2026-08-25T13:11:31.489644+05:30,0,76.8,0,0,0,0.0,30.2,,
2026-08-25T13:11:38.761716+05:30,0,76.8,0,0,0,0.0,30.2,,
2026-08-25T13:11:46.130912+05:30,0,76.8,0,0,0,0.0,30.2,,
2026-08-25T13:11:53.521986+05:30,647,76.8,265,7,81,7.17,30.2,,
2026-08-25T13:12:01.088362+05:30,647,76.8,265,7,81,7.17,30.2,,
2026-08-25T13:12:08.457410+05:30,649,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:12:15.829576+05:30,649,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:12:23.201019+05:30,649,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:12:30.780255+05:30,647,76.8,265,7,81,7.17,30.2,,
2026-08-25T13:12:38.150516+05:30,649,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:12:45.523521+05:30,647,76.8,265,7,81,7.17,30.2,,
2026-08-25T13:12:53.103241+05:30,647,76.8,265,7,81,7.17,30.2,,
2026-08-25T13:13:00.481835+05:30,647,76.8,265,7,81,7.17,30.2,,
2026-08-25T13:13:07.847817+05:30,647,76.8,265,7,81,7.17,30.2,,
2026-08-25T13:13:15.223169+05:30,647,76.8,265,7,81,7.17,30.2,,
2026-08-25T13:13:22.594627+05:30,647,76.8,265,7,81,7.17,30.2,,
2026-08-25T13:13:29.966547+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:13:37.339061+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:13:45.530927+05:30,649,77.1,264,7,80,7.16,30.2,,
2026-08-25T13:13:52.905036+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:14:00.082859+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:14:07.445451+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:14:14.821380+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:14:22.207223+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:14:29.358269+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:14:36.730960+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:14:43.897626+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:14:51.274222+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:14:58.649152+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:15:06.019933+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:15:13.398093+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:15:20.766369+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:15:28.137099+05:30,647,77.1,264,7,81,7.16,30.2,,
2026-08-25T13:15:35.715084+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:15:43.087055+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:15:50.482560+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:15:57.844822+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:16:05.003636+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:16:12.176944+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:16:19.553915+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:16:26.915057+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:16:34.292327+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:16:41.659637+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:16:48.833941+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:16:56.002586+05:30,645,77.1,265,7,81,7.17,30.3,,
2026-08-25T13:17:03.170405+05:30,645,77.1,265,7,81,7.17,30.3,,
2026-08-25T13:17:10.545843+05:30,645,77.1,265,7,81,7.17,30.3,,
2026-08-25T13:17:17.913269+05:30,645,77.1,265,7,81,7.17,30.3,,
2026-08-25T13:17:25.903942+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:17:33.477832+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:17:40.855526+05:30,647,77.5,263,7,81,7.16,30.3,,
2026-08-25T13:17:48.021860+05:30,647,77.5,263,7,81,7.16,30.3,,
2026-08-25T13:17:55.398197+05:30,645,77.5,264,7,81,7.16,30.3,,
2026-08-25T13:18:02.764400+05:30,645,77.1,265,7,81,7.17,30.3,,
2026-08-25T13:18:09.935426+05:30,645,76.8,266,7,81,7.17,30.3,,
2026-08-25T13:18:17.305114+05:30,645,76.8,266,7,81,7.17,30.3,,
2026-08-25T13:18:24.675240+05:30,647,76.8,265,7,81,7.17,30.3,,
2026-08-25T13:18:32.057366+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:18:39.625802+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:18:47.002391+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:18:54.384800+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:19:01.751365+05:30,645,76.8,266,7,81,7.17,30.3,,
2026-08-25T13:19:09.122412+05:30,645,76.8,266,7,81,7.17,30.3,,
2026-08-25T13:19:16.695931+05:30,645,76.8,266,7,81,7.17,30.3,,
2026-08-25T13:19:24.684732+05:30,645,76.8,266,7,81,7.17,30.3,,
2026-08-25T13:19:32.110953+05:30,645,76.8,266,7,81,7.17,30.3,,
2026-08-25T13:19:39.631866+05:30,647,76.8,265,7,81,7.17,30.3,,
2026-08-25T13:19:47.005913+05:30,645,76.8,266,7,81,7.17,30.3,,
2026-08-25T13:19:54.180966+05:30,645,76.8,266,7,81,7.17,30.3,,
2026-08-25T13:20:01.559428+05:30,645,77.1,265,7,81,7.17,30.3,,
2026-08-25T13:20:08.923178+05:30,645,76.8,266,7,81,7.17,30.3,,
2026-08-25T13:20:16.295002+05:30,645,76.8,266,7,81,7.17,30.3,,
2026-08-25T13:20:23.666427+05:30,645,77.1,265,7,81,7.17,30.3,,
2026-08-25T13:20:31.048168+05:30,647,76.8,265,7,81,7.17,30.3,,
2026-08-25T13:20:38.416126+05:30,647,76.8,265,7,81,7.17,30.3,,
2026-08-25T13:20:45.787999+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:20:53.160511+05:30,647,77.1,264,7,81,7.17,30.3,,
2026-08-25T13:21:00.544477+05:30,647,76.8,265,7,81,7.17,30.3,,
2026-08-25T13:21:08.314515+05:30,645,76.8,266,7,81,7.17,30.3,,
2026-08-25T13:21:15.521518+05:30,645,76.8,266,7,81,7.17,30.3,,
2026-08-25T13:28:34.680624+05:30,0,76.8,0,0,0,0.0,30.2,,
2026-08-25T13:28:42.054951+05:30,0,76.8,0,0,0,0.0,30.2,,
2026-08-25T13:28:49.427607+05:30,0,76.8,0,0,0,0.0,30.2,,
2026-08-25T13:28:56.799334+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:29:03.963810+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:29:11.540689+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:29:18.915983+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:29:26.287920+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:29:33.670489+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:29:41.038630+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:29:48.410878+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:29:55.778929+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:30:02.947888+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:30:10.329588+05:30,650,76.4,265,7,81,7.17,30.2,,
2026-08-25T13:30:17.693961+05:30,650,76.4,265,7,81,7.17,30.2,,
2026-08-25T13:30:25.068582+05:30,650,76.4,265,7,81,7.17,30.2,,
2026-08-25T13:30:32.439302+05:30,650,76.4,265,7,81,7.17,30.2,,
2026-08-25T13:30:40.020249+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:30:47.392445+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:30:54.764712+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:31:02.135984+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:31:09.353624+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:31:16.880378+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:31:24.101971+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:31:31.629245+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:31:39.001712+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:31:46.425686+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:31:53.960361+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:32:01.333796+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:32:08.491539+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:32:15.658555+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:32:23.035756+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:32:30.205813+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:32:37.573439+05:30,650,76.8,264,7,81,7.17,30.2,,
2026-08-25T13:32:44.952440+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:32:52.114642+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:32:59.488106+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:33:06.655459+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:33:14.025603+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:33:21.401970+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:33:28.774851+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:33:36.150116+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:33:43.521355+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:33:50.906926+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:33:58.271675+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:34:05.644626+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:34:12.809114+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:34:20.189313+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:34:27.549511+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:34:34.723341+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:34:42.092077+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:34:49.465968+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:34:56.847222+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:35:04.212152+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:35:11.589341+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:35:19.161925+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:35:26.535429+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:35:33.907091+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:35:41.283252+05:30,640,76.8,266,7,82,7.17,30.2,,
2026-08-25T13:35:48.656909+05:30,640,77.5,264,7,81,7.16,30.2,,
2026-08-25T13:35:56.029118+05:30,640,77.5,264,7,81,7.16,30.2,,
