time,conductivity,humidity,nitrogen,phosphorus,potassium,pH,temperature,latitude,longitude
2026-08-23T00:00:05.953638+05:30,375,39.9,39,138,131,8.8,24.2,,
2026-08-23T00:00:14.759584+05:30,375,39.8,39,138,131,8.8,24.2,,
2026-08-23T00:00:22.335308+05:30,374,39.6,39,137,130,8.8,24.2,,
2026-08-23T00:00:29.505052+05:30,390,46.2,42,145,138,8.8,24.2,,
2026-08-23T00:00:36.676154+05:30,392,44.5,43,146,139,8.8,24.2,,
2026-08-23T00:00:44.045831+05:30,392,43.1,43,146,139,8.8,24.2,,
2026-08-23T00:00:51.214719+05:30,393,42.5,43,146,139,8.8,24.2,,
2026-08-23T00:00:58.381691+05:30,394,42.0,43,147,140,8.8,24.2,,
2026-08-23T00:01:05.553014+05:30,396,41.9,44,148,141,8.8,24.2,,
2026-08-23T00:01:12.718747+05:30,435,47.0,52,167,160,8.8,24.2,,
2026-08-23T00:01:19.894741+05:30,454,48.6,56,176,169,8.8,24.2,,
2026-08-23T00:01:27.054836+05:30,466,49.4,58,181,175,8.8,24.2,,
2026-08-23T00:01:34.223118+05:30,472,49.1,60,184,178,8.8,24.2,,
2026-08-23T00:01:41.391126+05:30,476,49.3,60,186,180,8.8,24.2,,
2026-08-23T00:01:48.781418+05:30,509,56.6,67,202,196,8.8,24.2,,
2026-08-23T00:01:55.931427+05:30,547,58.9,75,221,214,8.9,24.2,,
2026-08-23T00:02:03.101853+05:30,596,61.2,85,244,238,8.6,24.2,,
2026-08-23T00:02:10.275946+05:30,604,61.2,87,248,242,8.7,24.3,,
2026-08-23T00:02:17.434102+05:30,611,61.2,89,251,245,8.7,24.3,,
2026-08-23T00:02:24.601985+05:30,618,61.2,90,255,249,8.7,24.3,,
2026-08-23T00:02:31.772589+05:30,626,61.0,92,259,253,8.8,24.3,,
2026-08-23T00:02:38.941158+05:30,633,61.2,93,262,256,8.8,24.3,,
2026-08-23T00:02:46.109711+05:30,640,61.2,95,265,259,8.8,24.3,,
2026-08-23T00:02:53.480981+05:30,644,61.3,95,267,261,8.8,24.3,,
2026-08-23T00:03:00.651210+05:30,651,61.2,97,271,265,8.8,24.3,,
2026-08-23T00:03:07.815864+05:30,655,61.2,98,273,267,8.8,24.3,,
2026-08-23T00:03:14.988946+05:30,659,61.2,99,275,269,8.8,24.3,,
2026-08-23T00:03:22.166420+05:30,663,61.3,99,276,271,8.8,24.3,,
2026-08-23T00:03:29.323134+05:30,667,61.3,100,278,273,8.8,24.3,,
2026-08-23T00:03:36.491529+05:30,671,61.3,101,280,275,8.9,24.3,,
2026-08-23T00:03:43.656703+05:30,678,61.3,103,284,278,8.9,24.3,,
2026-08-23T00:03:50.825699+05:30,682,61.5,103,286,280,8.9,24.3,,
2026-08-23T00:03:58.201599+05:30,685,61.5,104,287,281,8.9,24.3,,
